Port Name,State,Measure,Value,month,year
Roosville,Montana,Personal Vehicles,13870,Jul, 1998
Roosville,Montana,Personal Vehicles,15281,Jul, 1999
Roosville,Montana,Personal Vehicles,6724,May, 1999
Roosville,Montana,Personal Vehicles,14700,Aug, 1999
Roosville,Montana,Personal Vehicles,13543,Aug, 1998
Roosville,Montana,Personal Vehicles,13400,Jul, 1997
Roosville,Montana,Personal Vehicles,15022,Aug, 1996
Roosville,Montana,Personal Vehicles,14333,Jul, 1996
Roosville,Montana,Personal Vehicles,14624,Aug, 1997
Roosville,Montana,Personal Vehicles,7181,May, 1997
Roosville,Montana,Personal Vehicles,12223,Jun, 1996
Roosville,Montana,Personal Vehicles,7460,May, 1996
Roosville,Montana,Personal Vehicles,8538,Jun, 1997
Roosville,Montana,Personal Vehicles,14123,Jun, 2024
Roosville,Montana,Personal Vehicles,19991,Jul, 2024
Roosville,Montana,Personal Vehicles,20640,Aug, 2024
Roosville,Montana,Personal Vehicles,8073,May, 2025
Roosville,Montana,Personal Vehicles,11198,Jun, 2025
Roosville,Montana,Personal Vehicles,16869,Jul, 2025
Roosville,Montana,Personal Vehicles,16636,Aug, 2025
